<9	[9,12)	[12,15)	[15,18)	[18,21)	>=21
Anaeromyxobacter	4.08704545454545	4.10359183673469	5.13255263157895	5.42017857142857	5.91575	6.95872413793103
Chitinispirillum	0.397272727272727	0.426959183673469	0.499578947368421	0.594892857142857	0.5955	0.753965517241379
Geothrix	0.380909090909091	0.420857142857143	0.461157894736842	0.497607142857143	0.4821875	0.587310344827586
Piscinibacter	0.2925	0.284918367346939	0.378289473684211	0.385178571428571	0.4768125	0.522793103448276
Roseateles	0.389681818181818	0.341183673469388	0.459421052631579	0.418035714285714	0.515375	0.587413793103448
Sideroxydans	1.98690909090909	2.23722448979592	2.81065789473684	3.27842857142857	3.0288125	4.03355172413793
Spirochaeta	0.428136363636364	0.480612244897959	0.532973684210526	0.683714285714286	0.64325	0.771551724137931
Burkholderia	10.0757727272727	11.2438163265306	10.0188947368421	6.99746428571429	6.1636875	6.24396551724138
Exiguobacterium	1.64272727272727	1.35761224489796	0.964578947368421	0.920321428571429	0.9155	0.392068965517241
Paenibacillus	1.27990909090909	0.954081632653061	0.995447368421053	0.690535714285714	0.5146875	0.435206896551724
Pleomorphomonas	1.79672727272727	1.576	1.14876315789474	1.17982142857143	1.1380625	0.894310344827586
Tolumonas	0.954181818181818	1.10220408163265	0.426763157894737	0.386785714285714	0.4919375	0.236586206896552
