TimePoint,100,50,25,12.5,6.25,3.125
0,0.061263,0.044416,0.038767,0.024853,0.018452,0.012542
0.2,0.067092,0.049129,0.042069,0.027676,0.020581,0.013911
0.4,0.073159,0.053984,0.045514,0.030447,0.022187,0.014676
0.6,0.079965,0.059563,0.049122,0.033876,0.024116,0.015844
0.8,0.087474,0.065413,0.053064,0.036974,0.026453,0.017098
1,0.095428,0.071402,0.056839,0.040569,0.028568,0.018162
1.2,0.104124,0.077578,0.061299,0.04419,0.030968,0.019618
1.4,0.112617,0.083526,0.065554,0.047588,0.033205,0.021014
1.6,0.120782,0.088935,0.069493,0.050727,0.035214,0.022229
1.8,0.128587,0.094153,0.073434,0.053891,0.037256,0.023396
2,0.135734,0.09871,0.07685,0.056255,0.038997,0.024247
2.2,0.142008,0.102047,0.07964,0.058439,0.040141,0.024853
2.4,0.147803,0.105798,0.081985,0.05998,0.041358,0.025248
2.6,0.153138,0.109496,0.084254,0.061322,0.04261,0.02621
2.8,0.158504,0.113154,0.086817,0.06311,0.043829,0.027031
3,0.163726,0.116517,0.089258,0.064685,0.044718,0.027497
3.2,0.168657,0.119975,0.091446,0.066048,0.045763,0.028313
3.4,0.173104,0.12338,0.093485,0.067441,0.046498,0.028728
3.6,0.177452,0.126489,0.0954,0.068374,0.047526,0.029096
3.8,0.181551,0.129395,0.097349,0.069812,0.048534,0.029653
4,0.185921,0.132686,0.09939,0.07182,0.049902,0.030521
4.2,0.189424,0.135483,0.101181,0.073218,0.050837,0.031485
4.4,0.193407,0.138093,0.103389,0.07509,0.05153,0.031829
4.6,0.197481,0.141237,0.105527,0.076928,0.052744,0.032814
4.8,0.201801,0.143918,0.107538,0.078552,0.054227,0.033907
5,0.205787,0.146165,0.109384,0.080171,0.054873,0.034481
5.2,0.2101,0.148581,0.111694,0.081622,0.055875,0.035341
5.4,0.213619,0.15088,0.11329,0.082424,0.056631,0.035838
5.6,0.21736,0.153041,0.115111,0.083779,0.05732,0.036152
5.8,0.221072,0.155382,0.117125,0.085005,0.058384,0.036549
6,0.224534,0.157593,0.118842,0.086036,0.059101,0.036759
6.2,0.228703,0.16038,0.120633,0.087435,0.059848,0.037452
6.4,0.232999,0.163452,0.12267,0.08842,0.06092,0.038363
6.6,0.236782,0.166007,0.12453,0.089449,0.061907,0.039429
6.8,0.240888,0.169271,0.126324,0.090771,0.062679,0.039949
7,0.244462,0.171598,0.12793,0.091811,0.063605,0.040387
7.2,0.247844,0.174,0.12935,0.092659,0.064462,0.040878
7.4,0.25198,0.177118,0.131197,0.09434,0.065709,0.041519
7.6,0.255569,0.18001,0.132543,0.095702,0.066522,0.042112
7.8,0.258424,0.182645,0.134141,0.097297,0.066856,0.0427
8,0.26175,0.185031,0.135345,0.098596,0.067545,0.043053
8.2,0.26536,0.187705,0.137403,0.100613,0.068852,0.043743
8.4,0.269786,0.190289,0.139545,0.102662,0.070237,0.044842
8.6,0.272889,0.192216,0.141101,0.103658,0.071234,0.045592
8.8,0.275931,0.193843,0.142192,0.104688,0.071982,0.046058
9,0.278699,0.195367,0.143209,0.105332,0.072336,0.04617
9.2,0.281617,0.197522,0.144709,0.106311,0.073068,0.046961
9.4,0.284309,0.199369,0.145969,0.10696,0.073966,0.047524
9.6,0.28648,0.200998,0.14747,0.108194,0.074754,0.047816
9.8,0.288523,0.202386,0.148413,0.108691,0.075314,0.047949
10,0.291254,0.204594,0.149905,0.109546,0.076335,0.048885
10.2,0.294549,0.207102,0.151647,0.110311,0.077188,0.049663
10.4,0.297601,0.208861,0.153019,0.111129,0.078046,0.050389
10.6,0.300261,0.210923,0.154383,0.11205,0.078824,0.050957
10.8,0.302621,0.212523,0.155466,0.112778,0.079322,0.051081
11,0.305617,0.213928,0.156696,0.113982,0.079788,0.051351
11.2,0.308662,0.216019,0.158125,0.115258,0.080415,0.051868
11.4,0.311326,0.217849,0.158863,0.116282,0.08025,0.051286
11.6,0.313924,0.219458,0.160228,0.11731,0.080488,0.051509
11.8,0.315998,0.220812,0.161781,0.118085,0.080993,0.05132
12,0.318685,0.222034,0.162616,0.118581,0.081707,0.051077
12.2,0.321662,0.224284,0.164329,0.119652,0.082606,0.051589
12.4,0.324385,0.22535,0.16531,0.119954,0.083061,0.052058
12.6,0.326584,0.226617,0.166604,0.120244,0.083428,0.052245
12.8,0.32896,0.228092,0.168005,0.120844,0.083923,0.052622
13,0.331864,0.230217,0.169603,0.122284,0.085091,0.053377
13.2,0.334389,0.231984,0.171317,0.122855,0.085872,0.054403
13.4,0.336812,0.233796,0.173044,0.123772,0.087013,0.055399
13.6,0.338538,0.235702,0.174231,0.124065,0.087633,0.05585
13.8,0.341094,0.237769,0.175459,0.124791,0.088208,0.056408
14,0.343516,0.240012,0.176584,0.125993,0.089233,0.057286
14.2,0.345939,0.241644,0.17803,0.126959,0.089682,0.057774
14.4,0.348446,0.243252,0.178923,0.128217,0.090394,0.058274
14.6,0.350408,0.24481,0.180258,0.129405,0.090954,0.058841
14.8,0.352623,0.24609,0.18109,0.130526,0.091033,0.059133
15,0.355446,0.247668,0.182329,0.131873,0.091384,0.059818
15.2,0.357086,0.249577,0.183015,0.132866,0.091904,0.060409
15.4,0.359566,0.250925,0.183938,0.133686,0.092071,0.060039
15.6,0.362207,0.25228,0.185208,0.134336,0.092922,0.060465
15.8,0.364103,0.253802,0.185917,0.134406,0.093294,0.060216
16,0.366276,0.255173,0.18656,0.135183,0.093923,0.060335
16.2,0.368706,0.257025,0.18781,0.136061,0.094753,0.061162
