GroupID,N,TillerNumber,method,p,padjFDR,pAsterisk,padjFDRAsterisk
Mock,50,11.98,NA,NA,NA,NA,NA
R2567,50,9.5,Wilcoxon,7.902793943168e-11,1.975698485792e-10,***,***
R2488,50,9.64,Wilcoxon,1.47807909444869e-09,2.46346515741448e-09,***,***
R1405,50,9.36,Wilcoxon,3.69105929882051e-11,1.84552964941025e-10,***,***
R780,50,14.8,Wilcoxon,9.33787941586281e-09,1.16723492698285e-08,***,***
R1801,50,13.24,Wilcoxon,0.00373400251959222,0.00373400251959222,**,**
